*Veto Wall position calibration
* Position is calculated via : Xcm = (TBottom-TTop-Offset/c')*c'
*Detector    Offset (cm)     c' (cm/ns)
VWbar00	64.0776	7.38242
VWbar01	31.48625	7.2781
VWbar02	-34.7432	7.30307
VWbar03	-6.4235	7.00967
VWbar04	-103.237	7.08289
VWbar05	-47.9119	7.08149
VWbar06	-51.0815	7.19813
VWbar07	11.57	7.27255
VWbar08	20.3975	7.26741
VWbar09	1.0965	7.32178
VWbar10	-47.7251	7.28276
VWbar11	-0.842	7.12866
VWbar12	-1.968	7.23035
VWbar13	-53.2413	7.36546
VWbar14	-57.9679	7.43008
VWbar15	-45.6833	7.33477
VWbar16	5.032	7.22706
VWbar17	45.1565	7.08221
VWbar18	-7.922	7.17198
VWbar19	2.0065	7.09026
VWbar20	-14.6555	7.12686
VWbar21	-21.032	7.37196
VWbar22	43.8735	7.09626
VWbar23	14.55	7.11683
VWbar24	-0.37	7.28444
