*Veto Wall position calibration
* Position is calculated via : Xcm = (TBottom-TTop-Offset/c')*c'
*Detector    Offset (cm)     c' (cm/ns)
VWbar00	166.979	7.38242
VWbar01	150.25	7.2781
VWbar02	89.2568	7.30307
VWbar03	118.593	7.00967
VWbar04	26.329	7.08289
VWbar05	77.5366	7.08149
VWbar06	68.378	7.19813
VWbar07	135.341	7.27255
VWbar08	146.179	7.26741
VWbar09	124.019	7.32178
VWbar10	75.8339	7.28276
VWbar11	123.101	7.12866
VWbar12	119.823	7.23035
VWbar13	71.0407	7.36546
VWbar14	63.0016	7.43008
VWbar15	75.9792	7.33477
VWbar16	127.53	7.22706
VWbar17	166.962	7.08221
VWbar18	115.83	7.17198
VWbar19	123.917	7.09026
VWbar20	109.391	7.12686
VWbar21	103.996	7.37196
VWbar22	168.935	7.09626
VWbar23	146.985	7.11683
VWbar24	127.083	7.28444
