*Pulse height calibration for VetoWall done by Om
*the calibration formula is: a*gm/(b*ycm+c)
*bar_num   a   		b   		c
24	1.04     0.0215683       56.5836
3	1.04      -0.0890072      105.98
6	1.04      -0.0776119      145.823
10	1.04      0.0349391       97.0995
22	1.04      -0.00550383     123.681
4	1.04      -0.0199902      118.44
5	1.04      -0.0696197      117.966
11	1.04      -0.0115837      115.431
18	1.04      -0.0281724      120.273
7	1.04      -0.0245779      109.859
23	1.04      0.0054912       123.19
12	1.04      0.0310446       118.778
19	1.04      0.00938717      117.484
8	1.04      -0.00354209     97.3492
1	1.04      -0.0351177      132.205
9	1.04      0.0427508       120.998
2	1.04      0.0344790       112.772
21	1.04      -0.105816       140.787
0	1.04      -0.0361998      113.881
14	1.04      -0.0591001      122.304
20	1.04      -0.0381926      66.3966
15	1.04      -0.0148926      124.255
16	1.04      -0.00272228     116.22
13	1.04      0.0151056       129.654
17	1.04     0.00980034      125.331	      
